index,Name,Mass,Amp 44,Area 44,sample,age1,age_end,age2,path_name,path_num,d13c,d18o,age_lin_raw,age_lin,age_xray,age2_is_integer,age_bayes,age_bayes_lower,age_bayes_upper,age_uncertainty
339,12 SPL-A4 Path I 1A,0.198,8213.0,99.041,I 1A,,,43.9,I,1,-1.1316000653161,25.462472861390353,43.233333333333334,43.233333333333334,1972.05,False,1971.9172448833297,1971.7875200596898,1972.0339012281506,0.24638116846085722
340,Path I 2A,0.234,9744.0,117.44,I 2A,,,,I,2,-0.9592543050156057,25.506770358917116,,43.28333333333333,1972.1,False,1972.0485667442927,1971.9405155133868,1972.145243467251,0.2047279538642215
341,Path I 3A,0.242,11042.0,133.385,I 3A,-1.0,,44.0,I,3,-1.14789806940605,25.437887231990835,43.333333333333336,43.333333333333336,1972.1499999999999,True,1972.1760468687207,1972.094434112776,1972.2574146571428,0.16298054436674647
342,Path I 4A,0.198,10023.0,120.887,I 4A,,,,I,4,-1.5464833202292054,25.76798783908759,,44.083333333333336,1972.8999999999999,False,1972.3300073051869,1972.2288942644282,1972.4369512955957,0.20805703116752738
343,Path I 5A,0.228,9899.0,119.531,I 5A,,45.0,,I,5,-1.2834018878547166,25.880992801827464,44.833333333333336,44.833333333333336,1973.6499999999999,False,1972.4843953444752,1972.3710949908407,1972.603010604416,0.23191561357543833
344,Path I 6A,0.22,11799.0,142.425,I 6A,,,,I,6,-1.2436406390576888,25.810732623272834,,44.708333333333336,1973.5249999999999,False,1972.6400254500013,1972.5241186051576,1972.7546856991594,0.23056709400179898
345,Path I 7A,0.2,9802.0,118.203,I 7A,,,,I,7,-1.2450180068953305,25.663265917004146,,44.583333333333336,1973.3999999999999,False,1972.7970319027283,1972.682237027492,1972.9085949029593,0.226357875467329
346,Path I 8A,0.208,9592.0,115.686,I 8A,,,,I,8,-1.7226926609634456,25.53703755311138,,44.458333333333336,1973.2749999999999,False,1972.9517489159362,1972.8448183717794,1973.0484933403548,0.20367496857534206
347,Path I 9A,0.202,8692.0,104.934,I 9A,1.0,,45.0,I,9,-1.4603180397887459,25.576398996557682,44.333333333333336,44.333333333333336,1973.1499999999999,True,1973.1044277453584,1973.0310154176307,1973.1825320211165,0.15151660348578844
348,Path I 10A,0.234,11482.0,138.691,I 10A,,,,I,10,-2.1824775472710525,25.75575401227213,,44.583333333333336,1973.3999999999999,False,1973.2296376194174,1973.1446573706464,1973.3204759854386,0.17581861479220606
349,Path I 11A,0.24,11268.0,136.079,I 11A,,45.0,,I,11,-1.87461559512505,25.886989035437946,44.833333333333336,44.833333333333336,1973.6499999999999,False,1973.3509086458696,1973.2597371225324,1973.4569682805443,0.19723115801184576
350,Path I 12A,0.248,13695.0,167.597,I 12A,,,,I,12,-1.81903159779122,25.82550863761804,,44.91666666666667,1973.7333333333333,False,1973.4772475350446,1973.3804400360063,1973.5845982935784,0.2041582575720895
351,Path I 13A,0.222,11203.0,135.358,I 13A,,,,I,13,-1.6450145632886155,25.75779485285995,,45.0,1973.8166666666666,False,1973.6002527502696,1973.496344593163,1973.703853390673,0.207508797509945
352,Path I 14A,0.208,9028.0,108.708,I 14A,,,,I,14,-1.6790330792909272,25.53305532010062,,45.083333333333336,1973.8999999999999,False,1973.7263802447635,1973.6262310594147,1973.8251530882899,0.19892202887513122
353,Path I 15A,0.212,14821.0,181.592,I 15A,,,,I,15,-1.729534029191246,25.29206096977104,,45.16666666666667,1973.9833333333333,False,1973.8505262271856,1973.7527877469167,1973.9461318243982,0.19334407748146987
354,Path I 16A,0.226,9870.0,119.175,I 16A,,,,I,16,-1.6349392575844206,25.373357491045116,,45.25,1974.0666666666666,False,1973.9756908460395,1973.8921533196885,1974.0581445731839,0.16599125349534916
355,Path I 17A,0.226,9944.0,119.929,I 17A,1.0,,46.0,I,17,-1.5624138649845767,25.33948111964486,45.333333333333336,45.333333333333336,1974.1499999999999,True,1974.0995477508445,1974.0270434535469,1974.1730534959047,0.14601004235782966
356,Path I 18A,0.208,9897.0,119.245,I 18A,,,,I,18,-1.5305739833741807,25.27517320919781,,45.43333333333334,1974.25,False,1974.200811303248,1974.1180244046352,1974.2809388274684,0.16291442283318247
357,Path I 19A,0.218,10621.0,128.182,I 19A,,,,I,19,-1.8384614715634577,25.39176471542237,,45.53333333333334,1974.35,False,1974.302640129074,1974.219145336976,1974.3910347544272,0.17188941745121156
358,Path I 20A,0.228,9425.0,113.625,I 20A,,,,I,20,-2.0359848030654413,25.595815224218978,,45.63333333333333,1974.45,False,1974.4052481377976,1974.3184417816685,1974.490658046299,0.17221626463037865
359,Path I 21A,0.232,10975.0,132.263,I 21A,,,,I,21,-1.795127875432403,25.568940784789337,,45.733333333333334,1974.55,False,1974.5067696810236,1974.413734919604,1974.5982021705163,0.1844672509123484
360,Path I 22A,0.212,10399.0,129.181,I 22A,,46.0,,I,22,-1.71567335514198,25.621782512110464,45.833333333333336,45.833333333333336,1974.6499999999999,False,1974.6087593215811,1974.5137265144128,1974.6993892787002,0.18566276428737183
361,Path I 23A,0.2,8284.0,99.78,I 23A,,,,I,23,-1.7283212071638578,25.70853275872806,,45.91666666666667,1974.7333333333333,False,1974.7107719142723,1974.615133960424,1974.803618393777,0.1884844333530964
362,Path I 24A,0.234,9393.0,113.087,I 24A,,,,I,24,-1.4144082820676802,25.626842651061295,,46.0,1974.8166666666666,False,1974.812587832881,1974.7191779732586,1974.9021611356025,0.18298316234381673
363,Path I 25A,0.26,12909.0,155.946,I 25A,,,,I,25,-1.242087574076839,25.426453997954802,,46.083333333333336,1974.8999999999999,False,1974.9149366978525,1974.8219594250183,1975.0009985824904,0.17903915747206156
364,Path I 26A,0.198,10300.0,124.008,I 26A,,,,I,26,-1.1182915350061111,25.299053387566772,,46.16666666666667,1974.9833333333333,False,1975.0174801983812,1974.9286126736515,1975.0975744027971,0.16896172914562158
365,Path I 27A,0.216,12341.0,149.126,I 27A,,,,I,27,-1.0707595129366783,25.351048453472192,,46.25,1975.0666666666666,False,1975.1186488301848,1975.034211605132,1975.1945582264061,0.16034662127412957
